2025-12-29 23:31:41.488 | INFO     | __main__:__init__:63 | CA inicializada: IoT Network CA
2025-12-29 23:31:41.488 | INFO     | __main__:initialize:228 | ============================================================
2025-12-29 23:31:41.488 | INFO     | __main__:initialize:229 | Inicializando Certification Authority
2025-12-29 23:31:41.488 | INFO     | __main__:initialize:230 | ============================================================
2025-12-29 23:31:41.488 | INFO     | __main__:generate_ca_keypair:72 | A gerar par de chaves ECDSA P-521 para CA...
2025-12-29 23:31:41.491 | INFO     | __main__:generate_ca_keypair:79 | ✅ Par de chaves gerado
2025-12-29 23:31:41.491 | INFO     | __main__:create_ca_certificate:92 | A criar certificado auto-assinado da CA...
2025-12-29 23:31:41.493 | INFO     | __main__:create_ca_certificate:133 | ✅ Certificado CA criado
2025-12-29 23:31:41.493 | INFO     | __main__:create_ca_certificate:134 |    Serial: 68547696077255802877701625081004405760388346322
2025-12-29 23:31:41.493 | INFO     | __main__:create_ca_certificate:135 |    Válido até: 2035-12-27 23:31:41
2025-12-29 23:31:41.493 | INFO     | __main__:initialize:238 | ============================================================
2025-12-29 23:31:41.493 | INFO     | __main__:initialize:239 | ✅ CA inicializada com sucesso!
2025-12-29 23:31:41.493 | INFO     | __main__:initialize:240 | ============================================================
2025-12-29 23:32:19.224 | INFO     | __main__:__init__:63 | CA inicializada: IoT Network CA
2025-12-29 23:32:19.225 | INFO     | __main__:initialize:228 | ============================================================
2025-12-29 23:32:19.225 | INFO     | __main__:initialize:229 | Inicializando Certification Authority
2025-12-29 23:32:19.225 | INFO     | __main__:initialize:230 | ============================================================
2025-12-29 23:32:19.225 | INFO     | __main__:generate_ca_keypair:72 | A gerar par de chaves ECDSA P-521 para CA...
2025-12-29 23:32:19.229 | INFO     | __main__:generate_ca_keypair:79 | ✅ Par de chaves gerado
2025-12-29 23:32:19.229 | INFO     | __main__:create_ca_certificate:92 | A criar certificado auto-assinado da CA...
2025-12-29 23:32:19.231 | INFO     | __main__:create_ca_certificate:133 | ✅ Certificado CA criado
2025-12-29 23:32:19.231 | INFO     | __main__:create_ca_certificate:134 |    Serial: 390882065628549426367143608417965902030398535790
2025-12-29 23:32:19.231 | INFO     | __main__:create_ca_certificate:135 |    Válido até: 2035-12-27 23:32:19
2025-12-29 23:32:19.231 | INFO     | __main__:initialize:238 | ============================================================
2025-12-29 23:32:19.232 | INFO     | __main__:initialize:239 | ✅ CA inicializada com sucesso!
2025-12-29 23:32:19.232 | INFO     | __main__:initialize:240 | ============================================================
2025-12-29 23:32:19.233 | INFO     | __main__:save_ca_files:259 | ✅ Chave privada CA guardada: /home/rafael/repos/iot/certs/ca_private_key.pem
2025-12-29 23:32:19.233 | INFO     | __main__:save_ca_files:265 | ✅ Certificado CA guardado: /home/rafael/repos/iot/certs/ca_certificate.pem
2025-12-29 23:34:32.365 | INFO     | support.ca:__init__:63 | CA inicializada: IoT Network CA
2025-12-29 23:34:32.368 | INFO     | support.ca:load_ca_files:284 | ✅ Chave privada CA carregada: /home/rafael/repos/iot/certs/ca_private_key.pem
2025-12-29 23:34:32.368 | INFO     | support.ca:load_ca_files:292 | ✅ Certificado CA carregado: /home/rafael/repos/iot/certs/ca_certificate.pem
2025-12-29 23:34:32.370 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 61841fb7...
2025-12-29 23:34:32.370 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:34:32.371 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:34:32.372 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 727703787732009240186594614222838604928982669919
2025-12-29 23:34:32.372 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:34:32
2025-12-29 23:34:32.373 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: b63d2399...
2025-12-29 23:34:32.373 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:34:32.374 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:34:32.374 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 203249383500628367365386496686540420196053482173
2025-12-29 23:34:32.374 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:34:32
2025-12-29 23:34:32.375 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: bfcc1cb3...
2025-12-29 23:34:32.375 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:34:32.376 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:34:32.376 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 58740366586065740266361694474514604499708409800
2025-12-29 23:34:32.376 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:34:32
2025-12-29 23:34:32.377 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 34df3fb5...
2025-12-29 23:34:32.377 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: SINK
2025-12-29 23:34:32.378 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:34:32.378 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 117113425702318549699984517905933311722545134377
2025-12-29 23:34:32.378 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:34:32
2025-12-29 23:36:49.641 | INFO     | support.ca:__init__:63 | CA inicializada: IoT Network CA
2025-12-29 23:36:49.645 | INFO     | support.ca:load_ca_files:284 | ✅ Chave privada CA carregada: /home/rafael/repos/iot/certs/ca_private_key.pem
2025-12-29 23:36:49.646 | INFO     | support.ca:load_ca_files:292 | ✅ Certificado CA carregado: /home/rafael/repos/iot/certs/ca_certificate.pem
2025-12-29 23:36:49.647 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 1dc5cacc...
2025-12-29 23:36:49.647 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:36:49.649 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:36:49.649 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 227786493446290314836343333698449269651594345175
2025-12-29 23:36:49.649 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:36:49
2025-12-29 23:36:49.650 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 4c36483b...
2025-12-29 23:36:49.650 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:36:49.651 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:36:49.651 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 530756567568227369384188787997002008274947187766
2025-12-29 23:36:49.651 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:36:49
2025-12-29 23:36:49.652 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 38af2684...
2025-12-29 23:36:49.652 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: NODE
2025-12-29 23:36:49.653 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
2025-12-29 23:36:49.653 | INFO     | support.ca:issue_device_certificate:219 |    Serial: 260043898839569421309493541562163286264986247662
2025-12-29 23:36:49.653 | INFO     | support.ca:issue_device_certificate:220 |    Válido até: 2035-12-27 23:36:49
2025-12-29 23:36:49.654 | INFO     | support.ca:issue_device_certificate:159 | A emitir certificado para dispositivo: 10cfe51b...
2025-12-29 23:36:49.654 | INFO     | support.ca:issue_device_certificate:160 |    Tipo: SINK
2025-12-29 23:36:49.655 | INFO     | support.ca:issue_device_certificate:218 | ✅ Certificado emitido
